highest,monthYear,age,count
Income,2013-10-01,<15,39
Income,2013-10-01,>65,9
Income,2013-11-01,15-24,269
Income,2013-11-01,25-34,214
Income,2013-11-01,35-44,169
Income,2013-11-01,45-54,78
Income,2013-11-01,55-64,40
Income,2013-11-01,<15,24
Income,2013-11-01,>65,20
Income,2013-12-01,15-24,85
Income,2013-12-01,25-34,79
Income,2013-12-01,35-44,45
Income,2013-12-01,45-54,19
Income,2013-12-01,55-64,6
Income,2013-12-01,<15,4
Income,2013-12-01,>65,3
Income,2014-01-01,15-24,299
Income,2014-01-01,25-34,463
Income,2014-01-01,35-44,283
Income,2014-01-01,45-54,174
Income,2014-01-01,55-64,104
Income,2014-01-01,<15,25
Income,2014-01-01,>65,60
Income,2014-02-01,15-24,268
Income,2014-02-01,25-34,143
Income,2014-02-01,35-44,69
Income,2014-02-01,45-54,42
Income,2014-02-01,55-64,22
Income,2014-02-01,<15,24
Income,2014-02-01,>65,18
Income,2014-03-01,15-24,202
Income,2014-03-01,25-34,185
Income,2014-03-01,35-44,101
Income,2014-03-01,45-54,64
Income,2014-03-01,55-64,22
Income,2014-03-01,<15,31
Income,2014-03-01,>65,8
Income,2014-04-01,15-24,211
Income,2014-04-01,25-34,197
Income,2014-04-01,35-44,133
Income,2014-04-01,45-54,70
Income,2014-04-01,55-64,32
Income,2014-04-01,<15,62
Income,2014-04-01,>65,11
Income,2014-05-01,15-24,326
Income,2014-05-01,25-34,541
Income,2014-05-01,35-44,269
Income,2014-05-01,45-54,155
Income,2014-05-01,55-64,72
Income,2014-05-01,<15,39
Income,2014-05-01,>65,16
Income,2014-06-01,15-24,137
Income,2014-06-01,25-34,188
Income,2014-06-01,35-44,104
Income,2014-06-01,45-54,64
Income,2014-06-01,55-64,37
Income,2014-06-01,<15,18
Income,2014-06-01,>65,16
Income,2014-07-01,15-24,136
Income,2014-07-01,25-34,131
Income,2014-07-01,35-44,79
Income,2014-07-01,45-54,37
Income,2014-07-01,55-64,10
Income,2014-07-01,<15,13
Income,2014-07-01,>65,7
Income,2014-08-01,15-24,420
Income,2014-08-01,25-34,703
Income,2014-08-01,35-44,362
Income,2014-08-01,45-54,168
Income,2014-08-01,55-64,69
Income,2014-08-01,<15,20
Income,2014-08-01,>65,20
Income,2014-09-01,15-24,225
Income,2014-09-01,25-34,116
Income,2014-09-01,35-44,54
Income,2014-09-01,45-54,28
Income,2014-09-01,55-64,19
Income,2014-09-01,<15,17
Income,2014-09-01,>65,11
Income,2014-10-01,15-24,244
Income,2014-10-01,25-34,160
Income,2014-10-01,35-44,117
Income,2014-10-01,45-54,60
Income,2014-10-01,55-64,21
Income,2014-10-01,<15,26
Income,2014-10-01,>65,12
Income,2014-11-01,15-24,162
Income,2014-11-01,25-34,113
Income,2014-11-01,35-44,45
Income,2014-11-01,45-54,39
Income,2014-11-01,55-64,15
Income,2014-11-01,<15,13
Income,2014-11-01,>65,4
Income,2014-12-01,15-24,142
Income,2014-12-01,25-34,96
Income,2014-12-01,35-44,50
Income,2014-12-01,45-54,18
Income,2014-12-01,55-64,10
Income,2014-12-01,<15,12
Income,2014-12-01,>65,7
Income,2015-01-01,15-24,174
Income,2015-01-01,25-34,136
Income,2015-01-01,35-44,72
Income,2015-01-01,45-54,36
Income,2015-01-01,55-64,21
Income,2015-01-01,<15,19
Income,2015-01-01,>65,8
Income,2015-02-01,15-24,242
Income,2015-02-01,25-34,104
Income,2015-02-01,35-44,61
Income,2015-02-01,45-54,33
Income,2015-02-01,55-64,12
Income,2015-02-01,<15,52
Income,2015-02-01,>65,7
Income,2015-03-01,15-24,355
Income,2015-03-01,25-34,263
Income,2015-03-01,35-44,100
Income,2015-03-01,45-54,42
Income,2015-03-01,55-64,18
Income,2015-03-01,<15,53
Income,2015-03-01,>65,5
Income,2015-04-01,15-24,178
Income,2015-04-01,25-34,110
Income,2015-04-01,35-44,41
Income,2015-04-01,45-54,28
Income,2015-04-01,55-64,6
Income,2015-04-01,<15,48
Income,2015-04-01,>65,4
Income,2015-05-01,15-24,158
Income,2015-05-01,25-34,100
Income,2015-05-01,35-44,53
Income,2015-05-01,45-54,39
Income,2015-05-01,55-64,10
Income,2015-05-01,<15,22
Income,2015-05-01,>65,4
Income,2015-06-01,15-24,161
Income,2015-06-01,25-34,205
Income,2015-06-01,35-44,158
Income,2015-06-01,45-54,88
Income,2015-06-01,55-64,50
Income,2015-06-01,<15,18
Income,2015-06-01,>65,28
Income,2015-07-01,15-24,147
Income,2015-07-01,25-34,64
Income,2015-07-01,35-44,49
Income,2015-07-01,45-54,31
Income,2015-07-01,55-64,16
Income,2015-07-01,<15,10
Income,2015-07-01,>65,8
Income,2015-08-01,15-24,98
Income,2015-08-01,25-34,72
Income,2015-08-01,35-44,32
Income,2015-08-01,45-54,16
Income,2015-08-01,55-64,9
Income,2015-08-01,<15,12
Income,2015-08-01,>65,4
Income,2015-09-01,15-24,163
Income,2015-09-01,25-34,63
Income,2015-09-01,35-44,45
Income,2015-09-01,45-54,25
Income,2015-09-01,55-64,6
Income,2015-09-01,<15,27
Income,2015-09-01,>65,4
Income,2015-10-01,15-24,220
Income,2015-10-01,25-34,119
Income,2015-10-01,35-44,55
Income,2015-10-01,45-54,38
Income,2015-10-01,55-64,21
Income,2015-10-01,<15,15
Income,2015-10-01,>65,10
Income,2015-11-01,15-24,322
Income,2015-11-01,25-34,177
Income,2015-11-01,35-44,84
Income,2015-11-01,45-54,30
Income,2015-11-01,55-64,19
Income,2015-11-01,<15,26
Income,2015-11-01,>65,16
Income,2015-12-01,15-24,75
Income,2015-12-01,25-34,46
Income,2015-12-01,35-44,19
Income,2015-12-01,45-54,19
Income,2015-12-01,55-64,3
Income,2015-12-01,<15,6
Income,2015-12-01,>65,1
Jobs,2011-05-01,15-24,194
Jobs,2011-05-01,25-34,437
Jobs,2011-05-01,35-44,271
Jobs,2011-05-01,45-54,167
Jobs,2011-05-01,55-64,92
Jobs,2011-05-01,>65,26
Jobs,2011-05-01,NA,2
Jobs,2011-06-01,15-24,49
Jobs,2011-06-01,25-34,122
Jobs,2011-06-01,35-44,72
Jobs,2011-06-01,45-54,42
Jobs,2011-06-01,55-64,22
Jobs,2011-06-01,>65,11
Jobs,2011-06-01,NA,1
Jobs,2011-07-01,15-24,10
Jobs,2011-07-01,25-34,18
Jobs,2011-07-01,35-44,18
Jobs,2011-07-01,45-54,14
Jobs,2011-07-01,55-64,3
Jobs,2011-07-01,>65,2
Jobs,2011-08-01,15-24,11
Jobs,2011-08-01,25-34,13
Jobs,2011-08-01,35-44,11
Jobs,2011-08-01,45-54,5
Jobs,2011-08-01,55-64,3
Jobs,2011-08-01,>65,1
Jobs,2011-09-01,15-24,14
Jobs,2011-09-01,25-34,22
Jobs,2011-09-01,35-44,13
Jobs,2011-09-01,45-54,4
Jobs,2011-09-01,55-64,6
Jobs,2011-09-01,NA,1
Jobs,2011-10-01,15-24,32
Jobs,2011-10-01,25-34,56
Jobs,2011-10-01,35-44,37
Jobs,2011-10-01,45-54,23
Jobs,2011-10-01,55-64,15
Jobs,2011-10-01,>65,6
Jobs,2011-10-01,NA,1
Jobs,2011-11-01,15-24,36
Jobs,2011-11-01,25-34,40
Jobs,2011-11-01,35-44,26
Jobs,2011-11-01,45-54,17
Jobs,2011-11-01,55-64,16
Jobs,2011-11-01,>65,5
Jobs,2011-11-01,NA,3
Jobs,2011-12-01,15-24,26
Jobs,2011-12-01,25-34,22
Jobs,2011-12-01,35-44,19
Jobs,2011-12-01,45-54,7
Jobs,2011-12-01,55-64,5
Jobs,2011-12-01,>65,2
Jobs,2011-12-01,NA,2
Jobs,2012-01-01,15-24,26
Jobs,2012-01-01,25-34,64
Jobs,2012-01-01,35-44,33
Jobs,2012-01-01,45-54,23
Jobs,2012-01-01,55-64,12
Jobs,2012-01-01,>65,4
Jobs,2012-02-01,15-24,20
Jobs,2012-02-01,25-34,24
Jobs,2012-02-01,35-44,23
Jobs,2012-02-01,45-54,8
Jobs,2012-02-01,55-64,10
Jobs,2012-02-01,>65,1
Jobs,2012-03-01,15-24,35
Jobs,2012-03-01,25-34,21
Jobs,2012-03-01,35-44,18
Jobs,2012-03-01,45-54,4
Jobs,2012-03-01,55-64,3
Jobs,2012-03-01,>65,1
Jobs,2012-04-01,15-24,13
Jobs,2012-04-01,25-34,22
Jobs,2012-04-01,35-44,17
Jobs,2012-04-01,45-54,11
Jobs,2012-04-01,55-64,5
Jobs,2012-04-01,>65,2
Jobs,2012-04-01,NA,1
Jobs,2012-05-01,15-24,259
Jobs,2012-05-01,25-34,505
Jobs,2012-05-01,35-44,307
Jobs,2012-05-01,45-54,185
Jobs,2012-05-01,55-64,114
Jobs,2012-05-01,<15,9
Jobs,2012-05-01,>65,40
Jobs,2012-05-01,NA,7
Jobs,2012-06-01,15-24,131
Jobs,2012-06-01,25-34,241
Jobs,2012-06-01,35-44,99
Jobs,2012-06-01,45-54,71
Jobs,2012-06-01,55-64,43
Jobs,2012-06-01,<15,13
Jobs,2012-06-01,>65,18
Jobs,2012-06-01,NA,3
Jobs,2012-07-01,15-24,79
Jobs,2012-07-01,25-34,117
Jobs,2012-07-01,35-44,61
Jobs,2012-07-01,45-54,30
Jobs,2012-07-01,55-64,12
Jobs,2012-07-01,<15,4
Jobs,2012-07-01,>65,11
Jobs,2012-07-01,NA,2
Jobs,2012-08-01,15-24,136
Jobs,2012-08-01,25-34,98
Jobs,2012-08-01,35-44,47
Jobs,2012-08-01,45-54,30
Jobs,2012-08-01,55-64,11
Jobs,2012-08-01,<15,5
Jobs,2012-08-01,>65,5
Jobs,2012-09-01,15-24,139
Jobs,2012-09-01,25-34,95
Jobs,2012-09-01,35-44,48
Jobs,2012-09-01,45-54,33
Jobs,2012-09-01,55-64,7
Jobs,2012-09-01,<15,6
Jobs,2012-09-01,>65,4
Jobs,2012-09-01,NA,1
Jobs,2012-10-01,15-24,185
Jobs,2012-10-01,25-34,109
Jobs,2012-10-01,35-44,52
Jobs,2012-10-01,45-54,38
Jobs,2012-10-01,55-64,23
Jobs,2012-10-01,<15,7
Jobs,2012-10-01,>65,10
Jobs,2012-10-01,NA,2
Jobs,2012-11-01,15-24,142
Jobs,2012-11-01,25-34,95
Jobs,2012-11-01,35-44,69
Jobs,2012-11-01,45-54,36
Jobs,2012-11-01,55-64,14
Jobs,2012-11-01,<15,7
Jobs,2012-11-01,>65,5
Jobs,2012-11-01,NA,1
Jobs,2012-12-01,15-24,106
Jobs,2012-12-01,25-34,90
Jobs,2012-12-01,35-44,30
Jobs,2012-12-01,45-54,35
Jobs,2012-12-01,55-64,12
Jobs,2012-12-01,<15,7
Jobs,2012-12-01,>65,3
Jobs,2012-12-01,NA,3
Jobs,2013-01-01,15-24,98
Jobs,2013-01-01,25-34,96
Jobs,2013-01-01,35-44,49
Jobs,2013-01-01,45-54,28
Jobs,2013-01-01,55-64,18
Jobs,2013-01-01,<15,5
Jobs,2013-01-01,>65,6
Jobs,2013-01-01,NA,4
Jobs,2013-02-01,15-24,100
Jobs,2013-02-01,25-34,96
Jobs,2013-02-01,35-44,51
Jobs,2013-02-01,45-54,23
Jobs,2013-02-01,55-64,11
Jobs,2013-02-01,<15,9
Jobs,2013-02-01,>65,6
Jobs,2013-02-01,NA,7
Jobs,2013-03-01,15-24,166
Jobs,2013-03-01,25-34,124
Jobs,2013-03-01,35-44,62
Jobs,2013-03-01,45-54,29
Jobs,2013-03-01,55-64,20
Jobs,2013-03-01,<15,4
Jobs,2013-03-01,>65,8
Jobs,2013-03-01,NA,3
Jobs,2013-04-01,15-24,100
Jobs,2013-04-01,25-34,90
Jobs,2013-04-01,35-44,54
Jobs,2013-04-01,45-54,25
Jobs,2013-04-01,55-64,12
Jobs,2013-04-01,<15,4
Jobs,2013-04-01,>65,2
Jobs,2013-05-01,15-24,751
Jobs,2013-05-01,25-34,1556
Jobs,2013-05-01,35-44,909
Jobs,2013-05-01,45-54,599
Jobs,2013-05-01,55-64,353
Jobs,2013-05-01,<15,28
Jobs,2013-05-01,>65,114
Jobs,2013-05-01,NA,11
Jobs,2013-06-01,15-24,443
Jobs,2013-06-01,25-34,838
Jobs,2013-06-01,35-44,506
Jobs,2013-06-01,45-54,273
Jobs,2013-06-01,55-64,134
Jobs,2013-06-01,<15,20
Jobs,2013-06-01,>65,51
Jobs,2013-06-01,NA,11
Jobs,2013-07-01,15-24,71
Jobs,2013-07-01,25-34,111
Jobs,2013-07-01,35-44,70
Jobs,2013-07-01,45-54,45
Jobs,2013-07-01,55-64,14
Jobs,2013-07-01,<15,1
Jobs,2013-07-01,>65,2
Jobs,2013-07-01,NA,1
Jobs,2013-08-01,15-24,123
Jobs,2013-08-01,25-34,155
Jobs,2013-08-01,35-44,64
Jobs,2013-08-01,45-54,24
Jobs,2013-08-01,55-64,17
Jobs,2013-08-01,<15,9
Jobs,2013-08-01,>65,11
Jobs,2013-09-01,15-24,223
Jobs,2013-09-01,25-34,172
Jobs,2013-09-01,35-44,79
Jobs,2013-09-01,45-54,45
Jobs,2013-09-01,55-64,20
Jobs,2013-09-01,<15,21
Jobs,2013-09-01,>65,10
Jobs,2013-10-01,15-24,245
Jobs,2013-10-01,25-34,156
Jobs,2013-10-01,35-44,108
Jobs,2013-10-01,45-54,60
Jobs,2013-10-01,55-64,19
Jobs,2013-10-01,<15,36
Jobs,2013-10-01,>65,8
Jobs,2013-11-01,15-24,286
Jobs,2013-11-01,25-34,230
Jobs,2013-11-01,35-44,183
Jobs,2013-11-01,45-54,96
Jobs,2013-11-01,55-64,48
Jobs,2013-11-01,<15,26
Jobs,2013-11-01,>65,22
Jobs,2013-12-01,15-24,75
Jobs,2013-12-01,25-34,72
Jobs,2013-12-01,35-44,43
Jobs,2013-12-01,45-54,33
Jobs,2013-12-01,55-64,10
Jobs,2013-12-01,<15,6
Jobs,2013-12-01,>65,5
Jobs,2014-01-01,15-24,293
Jobs,2014-01-01,25-34,447
Jobs,2014-01-01,35-44,269
Jobs,2014-01-01,45-54,194
Jobs,2014-01-01,55-64,142
Jobs,2014-01-01,<15,16
Jobs,2014-01-01,>65,70
Jobs,2014-02-01,15-24,262
Jobs,2014-02-01,25-34,143
Jobs,2014-02-01,35-44,88
Jobs,2014-02-01,45-54,61
Jobs,2014-02-01,55-64,29
Jobs,2014-02-01,<15,22
Jobs,2014-02-01,>65,13
Jobs,2014-03-01,15-24,220
Jobs,2014-03-01,25-34,199
Jobs,2014-03-01,35-44,100
Jobs,2014-03-01,45-54,63
Jobs,2014-03-01,55-64,24
Jobs,2014-03-01,<15,25
Jobs,2014-03-01,>65,8
Jobs,2014-04-01,15-24,188
Jobs,2014-04-01,25-34,187
Jobs,2014-04-01,35-44,121
Jobs,2014-04-01,45-54,77
Jobs,2014-04-01,55-64,39
Jobs,2014-04-01,<15,52
Jobs,2014-04-01,>65,12
Jobs,2014-05-01,15-24,317
Jobs,2014-05-01,25-34,553
Jobs,2014-05-01,35-44,269
Jobs,2014-05-01,45-54,161
Jobs,2014-05-01,55-64,77
Jobs,2014-05-01,<15,33
Jobs,2014-05-01,>65,21
Jobs,2014-06-01,15-24,146
Jobs,2014-06-01,25-34,195
Jobs,2014-06-01,35-44,113
Jobs,2014-06-01,45-54,74
Jobs,2014-06-01,55-64,46
Jobs,2014-06-01,<15,15
Jobs,2014-06-01,>65,18
Jobs,2014-07-01,15-24,129
Jobs,2014-07-01,25-34,159
Jobs,2014-07-01,35-44,83
Jobs,2014-07-01,45-54,49
Jobs,2014-07-01,55-64,18
Jobs,2014-07-01,<15,9
Jobs,2014-07-01,>65,6
Jobs,2014-08-01,15-24,371
Jobs,2014-08-01,25-34,650
Jobs,2014-08-01,35-44,368
Jobs,2014-08-01,45-54,193
Jobs,2014-08-01,55-64,84
Jobs,2014-08-01,<15,22
Jobs,2014-08-01,>65,17
Jobs,2014-09-01,15-24,198
Jobs,2014-09-01,25-34,111
Jobs,2014-09-01,35-44,62
Jobs,2014-09-01,45-54,38
Jobs,2014-09-01,55-64,22
Jobs,2014-09-01,<15,23
Jobs,2014-09-01,>65,11
Jobs,2014-10-01,15-24,238
Jobs,2014-10-01,25-34,174
Jobs,2014-10-01,35-44,105
Jobs,2014-10-01,45-54,65
Jobs,2014-10-01,55-64,30
Jobs,2014-10-01,<15,29
Jobs,2014-10-01,>65,11
Jobs,2014-11-01,15-24,147
Jobs,2014-11-01,25-34,119
Jobs,2014-11-01,35-44,47
Jobs,2014-11-01,45-54,57
Jobs,2014-11-01,55-64,21
Jobs,2014-11-01,<15,11
Jobs,2014-11-01,>65,6
Jobs,2014-12-01,15-24,144
Jobs,2014-12-01,25-34,101
Jobs,2014-12-01,35-44,55
Jobs,2014-12-01,45-54,27
Jobs,2014-12-01,55-64,12
Jobs,2014-12-01,<15,12
Jobs,2014-12-01,>65,4
Jobs,2015-01-01,15-24,167
Jobs,2015-01-01,25-34,137
Jobs,2015-01-01,35-44,75
Jobs,2015-01-01,45-54,43
Jobs,2015-01-01,55-64,25
Jobs,2015-01-01,<15,21
Jobs,2015-01-01,>65,13
Jobs,2015-02-01,15-24,218
Jobs,2015-02-01,25-34,104
Jobs,2015-02-01,35-44,60
Jobs,2015-02-01,45-54,45
Jobs,2015-02-01,55-64,12
Jobs,2015-02-01,<15,36
Jobs,2015-02-01,>65,6
Jobs,2015-03-01,15-24,329
Jobs,2015-03-01,25-34,280
Jobs,2015-03-01,35-44,101
Jobs,2015-03-01,45-54,51
Jobs,2015-03-01,55-64,22
Jobs,2015-03-01,<15,55
Jobs,2015-03-01,>65,8
Jobs,2015-04-01,15-24,163
Jobs,2015-04-01,25-34,112
Jobs,2015-04-01,35-44,46
Jobs,2015-04-01,45-54,35
Jobs,2015-04-01,55-64,12
Jobs,2015-04-01,<15,44
Jobs,2015-04-01,>65,5
Jobs,2015-05-01,15-24,131
Jobs,2015-05-01,25-34,119
Jobs,2015-05-01,35-44,65
Jobs,2015-05-01,45-54,39
Jobs,2015-05-01,55-64,23
Jobs,2015-05-01,<15,26
Jobs,2015-05-01,>65,8
Jobs,2015-06-01,15-24,149
Jobs,2015-06-01,25-34,234
Jobs,2015-06-01,35-44,164
Jobs,2015-06-01,45-54,118
Jobs,2015-06-01,55-64,75
Jobs,2015-06-01,<15,19
Jobs,2015-06-01,>65,27
Jobs,2015-07-01,15-24,139
Jobs,2015-07-01,25-34,66
Jobs,2015-07-01,35-44,56
Jobs,2015-07-01,45-54,36
Jobs,2015-07-01,55-64,22
Jobs,2015-07-01,<15,13
Jobs,2015-07-01,>65,8
Jobs,2015-08-01,15-24,86
Jobs,2015-08-01,25-34,70
Jobs,2015-08-01,35-44,31
Jobs,2015-08-01,45-54,21
Jobs,2015-08-01,55-64,8
Jobs,2015-08-01,<15,11
Jobs,2015-08-01,>65,6
Jobs,2015-09-01,15-24,168
Jobs,2015-09-01,25-34,70
Jobs,2015-09-01,35-44,40
Jobs,2015-09-01,45-54,26
Jobs,2015-09-01,55-64,8
Jobs,2015-09-01,<15,25
Jobs,2015-09-01,>65,2
Jobs,2015-10-01,15-24,200
Jobs,2015-10-01,25-34,122
Jobs,2015-10-01,35-44,90
Jobs,2015-10-01,45-54,47
Jobs,2015-10-01,55-64,28
Jobs,2015-10-01,<15,15
Jobs,2015-10-01,>65,14
Jobs,2015-11-01,15-24,310
Jobs,2015-11-01,25-34,174
Jobs,2015-11-01,35-44,88
Jobs,2015-11-01,45-54,41
Jobs,2015-11-01,55-64,19
Jobs,2015-11-01,<15,28
Jobs,2015-11-01,>65,16
Jobs,2015-12-01,15-24,66
Jobs,2015-12-01,25-34,50
Jobs,2015-12-01,35-44,23
Jobs,2015-12-01,45-54,19
Jobs,2015-12-01,55-64,8
Jobs,2015-12-01,<15,5
Jobs,2015-12-01,>65,1
LifeSatisfaction,2011-05-01,15-24,309
LifeSatisfaction,2011-05-01,25-34,740
LifeSatisfaction,2011-05-01,35-44,478
LifeSatisfaction,2011-05-01,45-54,251
LifeSatisfaction,2011-05-01,55-64,124
LifeSatisfaction,2011-05-01,>65,42
LifeSatisfaction,2011-05-01,NA,2
LifeSatisfaction,2011-06-01,15-24,66
LifeSatisfaction,2011-06-01,25-34,215
LifeSatisfaction,2011-06-01,35-44,117
LifeSatisfaction,2011-06-01,45-54,81
LifeSatisfaction,2011-06-01,55-64,41
LifeSatisfaction,2011-06-01,>65,21
LifeSatisfaction,2011-06-01,NA,1
LifeSatisfaction,2011-07-01,15-24,16
LifeSatisfaction,2011-07-01,25-34,40
LifeSatisfaction,2011-07-01,35-44,37
LifeSatisfaction,2011-07-01,45-54,25
LifeSatisfaction,2011-07-01,55-64,7
LifeSatisfaction,2011-07-01,>65,3
LifeSatisfaction,2011-08-01,15-24,16
LifeSatisfaction,2011-08-01,25-34,28
LifeSatisfaction,2011-08-01,35-44,14
LifeSatisfaction,2011-08-01,45-54,10
LifeSatisfaction,2011-08-01,55-64,4
LifeSatisfaction,2011-09-01,15-24,21
LifeSatisfaction,2011-09-01,25-34,30
LifeSatisfaction,2011-09-01,35-44,25
LifeSatisfaction,2011-09-01,45-54,13
LifeSatisfaction,2011-09-01,55-64,6
LifeSatisfaction,2011-09-01,NA,4
LifeSatisfaction,2011-10-01,15-24,50
LifeSatisfaction,2011-10-01,25-34,79
LifeSatisfaction,2011-10-01,35-44,45
LifeSatisfaction,2011-10-01,45-54,44
LifeSatisfaction,2011-10-01,55-64,17
LifeSatisfaction,2011-10-01,>65,7
LifeSatisfaction,2011-10-01,NA,2
LifeSatisfaction,2011-11-01,15-24,78
LifeSatisfaction,2011-11-01,25-34,69
LifeSatisfaction,2011-11-01,35-44,45
LifeSatisfaction,2011-11-01,45-54,24
LifeSatisfaction,2011-11-01,55-64,14
LifeSatisfaction,2011-11-01,>65,5
LifeSatisfaction,2011-11-01,NA,2
LifeSatisfaction,2011-12-01,15-24,42
LifeSatisfaction,2011-12-01,25-34,55
LifeSatisfaction,2011-12-01,35-44,37
LifeSatisfaction,2011-12-01,45-54,15
LifeSatisfaction,2011-12-01,55-64,10
LifeSatisfaction,2011-12-01,>65,2
LifeSatisfaction,2011-12-01,NA,1
LifeSatisfaction,2012-01-01,15-24,57
LifeSatisfaction,2012-01-01,25-34,113
LifeSatisfaction,2012-01-01,35-44,44
LifeSatisfaction,2012-01-01,45-54,31
LifeSatisfaction,2012-01-01,55-64,28
LifeSatisfaction,2012-01-01,>65,7
LifeSatisfaction,2012-02-01,15-24,29
LifeSatisfaction,2012-02-01,25-34,57
LifeSatisfaction,2012-02-01,35-44,37
LifeSatisfaction,2012-02-01,45-54,14
LifeSatisfaction,2012-02-01,55-64,12
LifeSatisfaction,2012-02-01,>65,2
LifeSatisfaction,2012-02-01,NA,2
LifeSatisfaction,2012-03-01,15-24,52
LifeSatisfaction,2012-03-01,25-34,49
LifeSatisfaction,2012-03-01,35-44,22
LifeSatisfaction,2012-03-01,45-54,15
LifeSatisfaction,2012-03-01,55-64,5
LifeSatisfaction,2012-03-01,>65,3
LifeSatisfaction,2012-04-01,15-24,24
LifeSatisfaction,2012-04-01,25-34,41
LifeSatisfaction,2012-04-01,35-44,29
LifeSatisfaction,2012-04-01,45-54,13
LifeSatisfaction,2012-04-01,55-64,7
LifeSatisfaction,2012-04-01,>65,5
LifeSatisfaction,2012-04-01,NA,1
LifeSatisfaction,2012-05-01,15-24,471
LifeSatisfaction,2012-05-01,25-34,955
LifeSatisfaction,2012-05-01,35-44,562
LifeSatisfaction,2012-05-01,45-54,309
LifeSatisfaction,2012-05-01,55-64,172
LifeSatisfaction,2012-05-01,<15,13
LifeSatisfaction,2012-05-01,>65,62
LifeSatisfaction,2012-05-01,NA,11
LifeSatisfaction,2012-06-01,15-24,237
LifeSatisfaction,2012-06-01,25-34,417
LifeSatisfaction,2012-06-01,35-44,193
LifeSatisfaction,2012-06-01,45-54,129
LifeSatisfaction,2012-06-01,55-64,67
LifeSatisfaction,2012-06-01,<15,23
LifeSatisfaction,2012-06-01,>65,31
LifeSatisfaction,2012-06-01,NA,4
LifeSatisfaction,2012-07-01,15-24,131
LifeSatisfaction,2012-07-01,25-34,214
LifeSatisfaction,2012-07-01,35-44,92
LifeSatisfaction,2012-07-01,45-54,56
LifeSatisfaction,2012-07-01,55-64,25
LifeSatisfaction,2012-07-01,<15,4
LifeSatisfaction,2012-07-01,>65,12
LifeSatisfaction,2012-07-01,NA,3
LifeSatisfaction,2012-08-01,15-24,241
LifeSatisfaction,2012-08-01,25-34,173
LifeSatisfaction,2012-08-01,35-44,81
LifeSatisfaction,2012-08-01,45-54,59
LifeSatisfaction,2012-08-01,55-64,19
LifeSatisfaction,2012-08-01,<15,6
LifeSatisfaction,2012-08-01,>65,7
LifeSatisfaction,2012-09-01,15-24,253
LifeSatisfaction,2012-09-01,25-34,172
LifeSatisfaction,2012-09-01,35-44,88
LifeSatisfaction,2012-09-01,45-54,57
LifeSatisfaction,2012-09-01,55-64,20
LifeSatisfaction,2012-09-01,<15,14
LifeSatisfaction,2012-09-01,>65,11
LifeSatisfaction,2012-09-01,NA,5
LifeSatisfaction,2012-10-01,15-24,316
LifeSatisfaction,2012-10-01,25-34,190
LifeSatisfaction,2012-10-01,35-44,95
LifeSatisfaction,2012-10-01,45-54,60
LifeSatisfaction,2012-10-01,55-64,30
LifeSatisfaction,2012-10-01,<15,16
LifeSatisfaction,2012-10-01,>65,9
LifeSatisfaction,2012-10-01,NA,1
LifeSatisfaction,2012-11-01,15-24,245
LifeSatisfaction,2012-11-01,25-34,156
LifeSatisfaction,2012-11-01,35-44,100
LifeSatisfaction,2012-11-01,45-54,57
LifeSatisfaction,2012-11-01,55-64,26
LifeSatisfaction,2012-11-01,<15,10
LifeSatisfaction,2012-11-01,>65,14
LifeSatisfaction,2012-11-01,NA,1
LifeSatisfaction,2012-12-01,15-24,184
LifeSatisfaction,2012-12-01,25-34,142
LifeSatisfaction,2012-12-01,35-44,62
LifeSatisfaction,2012-12-01,45-54,49
LifeSatisfaction,2012-12-01,55-64,28
LifeSatisfaction,2012-12-01,<15,9
LifeSatisfaction,2012-12-01,>65,10
LifeSatisfaction,2012-12-01,NA,1
LifeSatisfaction,2013-01-01,15-24,160
LifeSatisfaction,2013-01-01,25-34,140
LifeSatisfaction,2013-01-01,35-44,76
LifeSatisfaction,2013-01-01,45-54,43
LifeSatisfaction,2013-01-01,55-64,35
LifeSatisfaction,2013-01-01,<15,9
LifeSatisfaction,2013-01-01,>65,6
LifeSatisfaction,2013-01-01,NA,5
LifeSatisfaction,2013-02-01,15-24,176
LifeSatisfaction,2013-02-01,25-34,156
LifeSatisfaction,2013-02-01,35-44,79
LifeSatisfaction,2013-02-01,45-54,52
LifeSatisfaction,2013-02-01,55-64,20
LifeSatisfaction,2013-02-01,<15,11
LifeSatisfaction,2013-02-01,>65,8
LifeSatisfaction,2013-02-01,NA,6
LifeSatisfaction,2013-03-01,15-24,310
LifeSatisfaction,2013-03-01,25-34,213
LifeSatisfaction,2013-03-01,35-44,110
LifeSatisfaction,2013-03-01,45-54,83
LifeSatisfaction,2013-03-01,55-64,39
LifeSatisfaction,2013-03-01,<15,5
LifeSatisfaction,2013-03-01,>65,8
LifeSatisfaction,2013-03-01,NA,7
LifeSatisfaction,2013-04-01,15-24,177
LifeSatisfaction,2013-04-01,25-34,197
LifeSatisfaction,2013-04-01,35-44,84
LifeSatisfaction,2013-04-01,45-54,37
LifeSatisfaction,2013-04-01,55-64,17
LifeSatisfaction,2013-04-01,<15,4
LifeSatisfaction,2013-04-01,>65,8
LifeSatisfaction,2013-04-01,NA,5
LifeSatisfaction,2013-05-01,15-24,1199
LifeSatisfaction,2013-05-01,25-34,2515
LifeSatisfaction,2013-05-01,35-44,1478
LifeSatisfaction,2013-05-01,45-54,890
